date,close,ema200,fg_value,slope_pct,regime
2023-11-16,48868000.0,39082582.0,70.0,5.6438,BULL
2023-11-17,49390000.0,39185143.0,63.0,5.6444,BULL
2023-11-18,49165000.0,39284445.0,69.0,5.6305,BULL
2023-11-19,49800000.0,39389078.0,66.0,5.6042,BULL
2023-11-20,50170000.0,39496350.0,69.0,5.6039,BULL
2023-11-21,48510000.0,39586038.0,71.0,5.5832,BULL
2023-11-22,50042000.0,39690078.0,62.0,5.5929,BULL
2023-11-23,49929000.0,39791958.0,66.0,5.5992,BULL
2023-11-24,50601000.0,39899510.0,66.0,5.6309,BULL
2023-11-25,50533000.0,40005316.0,73.0,5.6458,BULL
2023-11-26,50210000.0,40106855.0,73.0,5.6477,BULL
2023-11-27,50275000.0,40208031.0,66.0,5.5977,BULL
2023-11-28,50576000.0,40311195.0,68.0,5.5389,BULL
2023-11-29,50720000.0,40414765.0,72.0,5.4959,BULL
2023-11-30,50586000.0,40515971.0,74.0,5.4558,BULL
2023-12-01,51709000.0,40627345.0,71.0,5.4525,BULL
2023-12-02,52603000.0,40746506.0,74.0,5.5045,BULL
2023-12-03,53700000.0,40875396.0,73.0,5.5153,BULL
2023-12-04,56920000.0,41035044.0,74.0,5.6095,BULL
2023-12-05,60227000.0,41226009.0,75.0,5.7505,BULL
2023-12-06,60314000.0,41415939.0,72.0,5.9703,BULL
2023-12-07,59250000.0,41593392.0,72.0,6.1458,BULL
2023-12-08,60142000.0,41777955.0,72.0,6.3473,BULL
2023-12-09,60082000.0,41960085.0,73.0,6.5272,BULL
2023-12-10,59835000.0,42137945.0,74.0,6.6882,BULL
2023-12-11,56950000.0,42285329.0,74.0,6.8188,BULL
2023-12-12,57605000.0,42437763.0,67.0,6.9229,BULL
2023-12-13,59056000.0,42603119.0,65.0,7.0646,BULL
2023-12-14,58735000.0,42763635.0,72.0,7.1783,BULL
2023-12-15,58028000.0,42915519.0,70.0,7.2745,BULL
2023-12-16,57935000.0,43064967.0,67.0,7.3756,BULL
2023-12-17,56710000.0,43200738.0,73.0,7.4431,BULL
2023-12-18,58130000.0,43349288.0,65.0,7.5366,BULL
2023-12-19,57845000.0,43493524.0,73.0,7.6179,BULL
2023-12-20,59351000.0,43651310.0,74.0,7.7385,BULL
2023-12-21,59479000.0,43808799.0,70.0,7.8308,BULL
2023-12-22,59532000.0,43965249.0,74.0,7.8994,BULL
2023-12-23,59250000.0,44117336.0,70.0,7.9313,BULL
2023-12-24,58002000.0,44255492.0,71.0,7.848,BULL
2023-12-25,58042000.0,44392671.0,73.0,7.6812,BULL
2023-12-26,57032000.0,44518436.0,71.0,7.4911,BULL
2023-12-27,57920000.0,44651785.0,73.0,7.3531,BULL
2023-12-28,56907000.0,44773727.0,73.0,7.1707,BULL
2023-12-29,56450000.0,44889909.0,65.0,6.9824,BULL
2023-12-30,56639000.0,45006815.0,68.0,6.8083,BULL
2023-12-31,57047000.0,45126618.0,67.0,6.7193,BULL
2024-01-01,58839000.0,45263060.0,65.0,6.6575,BULL
2024-01-02,60206000.0,45411746.0,71.0,6.5925,BULL
2024-01-03,58581000.0,45542783.0,70.0,6.4989,BULL
2024-01-04,59477000.0,45681432.0,68.0,6.445,BULL
2024-01-05,59351000.0,45817448.0,72.0,6.3915,BULL
2024-01-06,59329000.0,45951891.0,70.0,6.3683,BULL
2024-01-07,59108000.0,46082797.0,71.0,6.3058,BULL
2024-01-08,63010000.0,46251227.0,71.0,6.3405,BULL
2024-01-09,62014000.0,46408071.0,76.0,6.3154,BULL
2024-01-10,63621000.0,46579344.0,73.0,6.3242,BULL
2024-01-11,63550000.0,46748206.0,76.0,6.3299,BULL
2024-01-12,59435000.0,46874443.0,71.0,6.2495,BULL
2024-01-13,58968000.0,46994777.0,64.0,6.1897,BULL
2024-01-14,57391000.0,47098222.0,60.0,6.0946,BULL
2024-01-15,58354000.0,47210219.0,52.0,6.0464,BULL
2024-01-16,59196000.0,47329481.0,64.0,5.9968,BULL
2024-01-17,58776000.0,47443377.0,60.0,5.9625,BULL
2024-01-18,57284000.0,47541293.0,63.0,5.9064,BULL
2024-01-19,57739000.0,47642763.0,51.0,5.8568,BULL
2024-01-20,57517000.0,47741014.0,52.0,5.7935,BULL
2024-01-21,57387000.0,47836994.0,56.0,5.6866,BULL
2024-01-22,54689000.0,47905173.0,55.0,5.4907,BULL
2024-01-23,55389000.0,47979639.0,50.0,5.3507,BULL
2024-01-24,55200000.0,48051484.0,48.0,5.1882,BULL
2024-01-25,55101000.0,48121628.0,52.0,5.029,BULL
2024-01-26,57503000.0,48214975.0,49.0,4.9249,BULL
2024-01-27,58086000.0,48313194.0,55.0,4.84,BULL
2024-01-28,57855000.0,48408138.0,54.0,4.6635,BULL
2024-01-29,59101000.0,48514534.0,55.0,4.539,BULL
2024-01-30,58965000.0,48618519.0,61.0,4.3779,BULL
2024-01-31,58738000.0,48719210.0,60.0,4.2162,BULL
2024-02-01,59150000.0,48822999.0,63.0,4.157,BULL
2024-02-02,59299000.0,48927238.0,63.0,4.1121,BULL
2024-02-03,59260000.0,49030052.0,60.0,4.1017,BULL
2024-02-04,58811000.0,49127374.0,60.0,4.0609,BULL
2024-02-05,58882000.0,49224435.0,60.0,4.0038,BULL
2024-02-06,59039000.0,49322093.0,64.0,3.9599,BULL
2024-02-07,60232000.0,49430649.0,62.0,3.9741,BULL
2024-02-08,62011000.0,49555827.0,66.0,4.0154,BULL
2024-02-09,63682000.0,49696386.0,72.0,4.0958,BULL
2024-02-10,64549000.0,49844173.0,74.0,4.1959,BULL
2024-02-11,65230000.0,49997266.0,71.0,4.3672,BULL
2024-02-12,67002000.0,50166467.0,70.0,4.5578,BULL
2024-02-13,67309000.0,50337039.0,79.0,4.7565,BULL
2024-02-14,70199000.0,50534671.0,74.0,5.0145,BULL
2024-02-15,71253000.0,50740823.0,72.0,5.2387,BULL
2024-02-16,72128000.0,50953631.0,72.0,5.4653,BULL
2024-02-17,71530000.0,51158371.0,76.0,5.6813,BULL
2024-02-18,71964000.0,51365392.0,72.0,5.8763,BULL
2024-02-19,71755000.0,51568274.0,75.0,6.0671,BULL
2024-02-20,72191000.0,51773475.0,72.0,6.2691,BULL
2024-02-21,72397000.0,51978684.0,78.0,6.4635,BULL
2024-02-22,71601000.0,52173931.0,74.0,6.6358,BULL
2024-02-23,70805000.0,52359315.0,76.0,6.7903,BULL
2024-02-24,71107000.0,52545859.0,72.0,6.9584,BULL
2024-02-25,71256000.0,52732030.0,74.0,7.1257,BULL
2024-02-26,74742000.0,52951034.0,72.0,7.3576,BULL
2024-02-27,78619000.0,53206437.0,79.0,7.6386,BULL
2024-02-28,87634000.0,53549000.0,82.0,8.0579,EUPHORIA
2024-02-29,85910000.0,53871000.0,80.0,8.4002,BULL
2024-03-01,87397000.0,54204592.0,80.0,8.7481,BULL
2024-03-02,86383000.0,54524775.0,80.0,9.0555,BULL
2024-03-03,87982000.0,54857683.0,83.0,9.3513,EUPHORIA
2024-03-04,95500000.0,55262084.0,82.0,9.7841,EUPHORIA
2024-03-05,91275000.0,55620422.0,90.0,10.0639,EUPHORIA
2024-03-06,93325000.0,55995591.0,75.0,10.3561,BULL
2024-03-07,94060000.0,56374342.0,82.0,10.6385,EUPHORIA
2024-03-08,96237000.0,56770985.0,81.0,10.9711,EUPHORIA
2024-03-09,95946000.0,57160786.0,84.0,11.2827,EUPHORIA
2024-03-10,97495000.0,57562122.0,79.0,11.6231,BULL
2024-03-11,100404000.0,57988409.0,82.0,12.0041,EUPHORIA
2024-03-12,101200000.0,58418375.0,81.0,12.3891,EUPHORIA
2024-03-13,104122000.0,58873138.0,81.0,12.8401,EUPHORIA
2024-03-14,102506000.0,59307295.0,88.0,13.2698,EUPHORIA
2024-03-15,101000000.0,59722148.0,83.0,13.6572,EUPHORIA
2024-03-16,96767000.0,60090754.0,81.0,13.9549,EUPHORIA
2024-03-17,99922000.0,60487085.0,79.0,14.2321,BULL
2024-03-18,99040000.0,60870696.0,77.0,14.4048,BULL
2024-03-19,92572000.0,61186131.0,79.0,14.2619,BULL
2024-03-20,99726000.0,61569613.0,74.0,14.2908,BULL
2024-03-21,95552000.0,61907746.0,78.0,14.2113,BULL
2024-03-22,93855000.0,62225629.0,75.0,14.1236,BULL
2024-03-23,93274000.0,62534568.0,73.0,13.9942,BULL
2024-03-24,96624000.0,62873766.0,74.0,13.7738,BULL
2024-03-25,99202000.0,63235241.0,75.0,13.6907,BULL
2024-03-26,100051000.0,63601567.0,81.0,13.5832,EUPHORIA
2024-03-27,99890000.0,63962646.0,83.0,13.4606,EUPHORIA
2024-03-28,100900000.0,64330182.0,80.0,13.3152,BULL
2024-03-29,99801000.0,64683126.0,79.0,13.16,BULL
2024-03-30,99985000.0,65034388.0,75.0,12.9812,BULL
2024-03-31,100970000.0,65391956.0,75.0,12.7673,BULL
2024-04-01,100100000.0,65737310.0,79.0,12.5285,BULL
2024-04-02,96053000.0,66038959.0,79.0,12.1716,BULL
2024-04-03,96502000.0,66342073.0,71.0,11.8616,BULL
